TYPE,MAN ID,CAT,S/N,EFL,HEIGHT,LENGTH,RD1,GLA1,TH1,RD2
CYL,LP,,316301,-91.103,50,60,-47.1, N-BK7     ,4.5,0
CYL,LP,,316302,-147.38,50,60,-76.2, N-BK7     ,4,0
CYL,LP,,318301,4.836,4.8,4.8,2.5, N-BK7     ,2.4,0
CYL,LP,,318302,9.671,9.8,9.8,5, N-BK7     ,4,0
CYL,LP,,318303,1.173,1.6,1.6,0.8, N-BK7     ,1.599,-0.8
CYL,LP,,318311,40.296,15,60,20.833, N-BK7     ,2.7,0
CYL,LP,,318312,40.296,15,130,20.833, N-BK7     ,2.7,0
CYL,LP,,318314,40.296,18,18,20.833, N-BK7     ,2.7,0
CYL,LP,,318321,61.607,20,60,31.851, N-BK7     ,3,0
CYL,LP,,318322,61.607,20,130,31.851, N-BK7     ,3,0
CYL,LP,,318331,80.981,30,60,41.867, N-BK7     ,4,0
CYL,LP,,318332,80.981,30,130,41.867, N-BK7     ,4,0
CYL,LP,,318334,80.981,31.5,31.5,41.867, N-BK7     ,4,0
CYL,LP,,318335,201.954,31.5,31.5,104.41, N-BK7     ,5,0
CYL,LP,,318351,101.219,50,60,52.33, N-BK7     ,8,0
CYL,LP,,318352,151.447,50,60,78.298, N-BK7     ,6,0
CYL,LP,,318353,201.954,50,60,104.41, N-BK7     ,5,0
CYL,LP,,318354,250.619,50,60,129.57, N-BK7     ,4.5,0
CYL,LP,,318355,302.166,50,60,156.22, N-BK7     ,4,0
CYL,LP,,318806,5.447,4.8,4.8,2.5, SILICA    ,2.4,0
CYL,LP,,318807,10.893,9.8,9.8,5, SILICA    ,4,0
CYL,LP,,318813,45.388,15,0,20.833, SILICA    ,2.7,0
CYL,LP,,318823,69.392,20,0,31.851, SILICA    ,3,0
CYL,LP,,318824,69.392,22.4,22.4,31.851, SILICA    ,3,0
CYL,LP,,318833,91.214,30,0,41.867, SILICA    ,4,0
CYL,LP,,318847,114.009,30,0,52.33, SILICA    ,8,0
CYL,LP,,318848,170.584,30,0,78.298, SILICA    ,6,0
CYL,LP,,318849,227.473,30,0,104.41, SILICA    ,5,0
CYL,LP,,318850,340.349,30,0,156.22, SILICA    ,4,0
CYL,LP,,318856,114.009,50,0,52.33, SILICA    ,8,0
CYL,LP,,318857,170.584,50,0,78.298, SILICA    ,6,0
CYL,LP,,318858,227.473,50,0,104.41, SILICA    ,5,0
CYL,LP,,318859,340.349,50,0,156.22, SILICA    ,4,0
